Title,Link
KRI007 Ole Mic Odd - Mythical Realm EP (snippets),https://soundcloud.com/kri-records/kri007-ole-micc-odd-mythical-realm-snippets
Shokh - Torotam,https://soundcloud.com/brokntoys/shokh-torotam
Premiere: Chupacabras - Compassion [SM011],https://soundcloud.com/phormix/premiere-chupacabras-compassion-sm011-1
Black Sea (Sepehr Remix),https://soundcloud.com/anatolianweapons/black-sea-sepehr-remix-1
Mekas — Chaosmos — INS 4,https://soundcloud.com/tratratrax/mekas-chaosmos-ins-4
PREMIERE: Sansibar - Tamagotchi (20/20 Vision),https://soundcloud.com/hypno_groove/premiere-sansibar-tamagotchi-2020-vision
[PREMIERE] -- Sound Synthesis - Whatever You Want [Orbital Mechanics],https://soundcloud.com/sound-synthesis-official/premiere-sound-synthesis-whatever-you-want-orbital-mechanics
PREMIERE: The Spy - Hacking Mind [Kri Records],https://soundcloud.com/whypeopledance/premiere-the-spy-hacking-mind-kri-records
PREMIERE: Armec - Transcend (Nebulae Records),https://soundcloud.com/hypno_groove/premiere-armec-transcend-nebulae-records
Polygon Clouds,https://soundcloud.com/datawave/polygon-clouds
[Premiere] - Zeta Reticula - The Beryllium (Sound Synthesis Remix),https://soundcloud.com/sound-synthesis-official/premiere-zeta-reticula-the-berlium-sound-synthesis-remix
Ivna Ji - SUD II,https://soundcloud.com/brokntoys/ivna-ji-sud-ii
Zeta Reticula - Common Centre EP,https://soundcloud.com/eudemoniarecords/zeta-reticula-common-centre-ep
WF03 -- Vertical67 - Solitary World EP,https://soundcloud.com/sound-synthesis-official/wf03-vertical67-solitary-world
Cignol - Altered Sense,https://soundcloud.com/furthur_elect0nix/cignol-claire-waiting-master-jhnz
PREMIERE : End In Tears - Infinity Pool,https://soundcloud.com/les-yeux-orange/premiere-end-in-tears-infinity-pool
BP004 Command D - Clone Dialogue EP(snippets),https://soundcloud.com/bodypromise/bp004-command-d-clone-dialogue-snippets
Tom Carruthers-In The Night (LIES-190),https://soundcloud.com/l-i-e-s/tom-carruthers-in-the-night-lies-190
